Date,Open,High,Low,Close,Adj Close,Volume
2016-04-01,113.75,116.16999816894531,113.3499984741211,116.05999755859375,115.9369888305664,24760500
2016-04-04,114.06999969482422,114.55000305175781,111.61000061035156,112.55000305175781,112.43070983886719,48487900
2016-04-05,112.11000061035156,113.31999969482422,111.9000015258789,112.22000122070312,112.10105895996094,22962400
2016-04-06,112.47000122070312,113.80999755859375,112.41999816894531,113.70999908447266,113.5894775390625,20814600
2016-04-07,113.79000091552734,114.88999938964844,113.06999969482422,113.63999938964844,113.5195541381836,20714500
2016-04-08,114.25,114.33000183105469,109.9000015258789,110.62999725341797,110.51274108886719,48497800
2016-04-11,110.69999694824219,110.91000366210938,108.7699966430664,108.98999786376953,108.87448120117188,39762300
2016-04-12,109.33999633789062,111.16000366210938,108.98999786376953,110.61000061035156,110.49276733398438,26248100
2016-04-13,112.2300033569336,112.6500015258789,106.5199966430664,110.51000213623047,110.39287567138672,88227400
2016-04-14,110.62000274658203,112.04000091552734,110.26000213623047,110.83999633789062,110.72251892089844,28473300
2016-04-15,110.79000091552734,110.97000122070312,109.19999694824219,109.63999938964844,109.52379608154297,20922800
2016-04-18,109.73999786376953,110.80999755859375,109.19999694824219,110.44999694824219,110.33293151855469,21167200
2016-04-19,111.0999984741211,112.44999694824219,109.16000366210938,112.29000091552734,112.17098236083984,30210500
2016-04-20,112.43000030517578,113.2699966430664,111.55999755859375,112.41999816894531,112.30084228515625,21027900
2016-04-21,112.55000305175781,114.04000091552734,112.30999755859375,113.44000244140625,113.31977081298828,20875200
2016-04-22,111.20999908447266,111.75,109.01000213623047,110.55999755859375,110.44281768798828,38458200
2016-04-25,109.87000274658203,110.66999816894531,109.06999969482422,110.0999984741211,109.98330688476562,21017900
2016-04-26,110.48999786376953,110.5,108.1500015258789,108.76000213623047,108.64472961425781,22521500
2016-04-27,107.94000244140625,108.94000244140625,106.30999755859375,108.88999938964844,108.77458953857422,52213100
2016-04-28,119.58000183105469,120.79000091552734,116.2300033569336,116.7300033569336,116.60628509521484,87110100
2016-04-29,116.81999969482422,117.83999633789062,115.83999633789062,117.58000183105469,117.45538330078125,37140600
2016-05-02,117.83000183105469,118.7300033569336,116.56999969482422,118.56999969482422,118.44432830810547,28095200
2016-05-03,117.5199966430664,118.16000366210938,117.0199966430664,117.43000030517578,117.30553436279297,24117500
2016-05-04,116.61000061035156,118.30000305175781,116.56999969482422,118.05999755859375,117.93486785888672,23448400
2016-05-05,118.04000091552734,118.9800033569336,117.25,117.80999755859375,117.68513488769531,22056700
2016-05-06,117.16000366210938,119.63999938964844,117.11000061035156,119.48999786376953,119.36334991455078,26395600
2016-05-09,119.54000091552734,120.27999877929688,118.9000015258789,119.23999786376953,119.11361694335938,21138100
2016-05-10,119.62000274658203,120.5,119.0,120.5,120.37228393554688,23220000
2016-05-11,120.41000366210938,121.08000183105469,119.41999816894531,119.5199966430664,119.39331817626953,22038400
2016-05-12,119.9800033569336,120.83999633789062,118.9000015258789,120.27999877929688,120.15251159667969,22035500
2016-05-13,120.37999725341797,120.63999938964844,119.68000030517578,119.80999755859375,119.68301391601562,18124300
2016-05-16,119.37999725341797,119.61000061035156,117.3499984741211,118.66999816894531,118.54421997070312,31247800
2016-05-17,118.81999969482422,119.01000213623047,117.19999694824219,117.3499984741211,117.22562408447266,21328600
2016-05-18,116.80000305175781,118.2699966430664,116.7300033569336,117.6500015258789,117.52530670166016,21642300
2016-05-19,117.05000305175781,117.48999786376953,115.87999725341797,116.80999755859375,116.68619537353516,20544100
2016-05-20,116.95999908447266,117.98999786376953,116.94999694824219,117.3499984741211,117.22562408447266,18944800
2016-05-23,117.41999816894531,117.5999984741211,115.94000244140625,115.97000122070312,115.84708404541016,20441000
2016-05-24,116.23999786376953,117.7300033569336,116.12000274658203,117.69999694824219,117.57524871826172,20183600
